Display Name,Internal Name
Alien Head,AlienHead
Shattering Justice,ArmorReductionOnHit
Aegis,BarrierOnOverHeal
Brilliant Behemoth,Behemoth
Sentient Meat Hook,BounceNearby
57 Leaf Clover,Clover
Ceremonial Dagger,Dagger
Dio's Best Friend,ExtraLife
H3AD-5T v2,FallBoots
Happiest Mask,GhostOnKill
Wake of Vultures,HeadHunter
Frost Relic,Icicle
Rejuvenation Rack,IncreaseHealing
Brainstalks,KillEliteFrenzy
Resonance Disc,LaserTurbine
N'kuhana's Opinion,NovaOnHeal
Interstellar Desk Plant,Plant
Unstable Tesla Coil,ShockNearby
Soulbound Catalyst,Talisman
Hardlight Afterburner,UtilitySkillMagazine
Item Scrap Red,ScrapRed
